iter	Passed	Remaining
411	4111	5867
412	4114	5848
413	4117	5828
414	4120	5808
415	4124	5790
416	4127	5770
417	4129	5750
418	4131	5729
419	4134	5709
420	4137	5689
421	4139	5670
422	4142	5650
423	4145	5631
424	4148	5612
425	4151	5593
426	4155	5576
427	4159	5559
428	4162	5540
429	4167	5524
430	4170	5505
431	4174	5488
432	4177	5470
433	4180	5452
434	4184	5434
435	4186	5415
436	4189	5397
437	4192	5379
438	4195	5361
439	4198	5343
440	4201	5325
441	4204	5308
442	4207	5290
443	4211	5273
444	4214	5256
445	4217	5239
446	4220	5221
447	4223	5203
448	4226	5187
449	4229	5169
450	4233	5152
451	4235	5135
452	4238	5118
453	4242	5101
454	4245	5084
455	4248	5068
456	4251	5051
457	4254	5034
458	4257	5018
459	4260	5001
460	4263	4984
461	4266	4968
462	4269	4951
463	4273	4936
464	4276	4920
465	4279	4903
466	4281	4887
467	4284	4870
468	4287	4854
469	4290	4838
470	4294	4822
471	4296	4806
472	4299	4790
473	4303	4775
474	4305	4759
475	4308	4743
476	4311	4727
477	4313	4710
478	4317	4695
479	4319	4679
480	4322	4663
481	4325	4648
482	4328	4633
483	4331	4618
484	4334	4602
485	4337	4586
486	4339	4571
487	4341	4555
488	4344	4539
489	4347	4524
490	4350	4509
491	4353	4494
492	4356	4479
493	4358	4464
494	4362	4450
495	4364	4435
496	4367	4420
497	4370	4405
498	4372	4389
499	4375	4375
500	4378	4361
501	4381	4346
502	4385	4333
503	4388	4318
504	4392	4305
505	4395	4291
506	4398	4277
507	4402	4263
508	4405	4249
509	4408	4235
510	4412	4222
511	4415	4208
512	4418	4194
513	4421	4181
514	4425	4167
515	4428	4153
516	4431	4140
517	4434	4126
518	4437	4112
519	4440	4099
520	4443	4085
521	4446	4071
522	4449	4057
523	4452	4044
524	4455	4031
525	4458	4017
526	4461	4004
527	4464	3990
528	4467	3977
529	4470	3964
530	4473	3951
531	4477	3938
532	4479	3925
533	4483	3912
534	4486	3899
535	4489	3886
536	4492	3873
537	4495	3860
538	4498	3847
539	4501	3834
540	4505	3822
541	4507	3809
542	4510	3796
543	4514	3783
544	4517	3771
545	4520	3758
546	4523	3746
547	4526	3733
548	4529	3721
549	4532	3708
550	4535	3695
551	4538	3683
552	4542	3671
553	4545	3659
554	4548	3647
555	4551	3634
556	4555	3622
557	4557	3610
558	4561	3598
559	4564	3586
560	4567	3574
561	4571	3562
562	4574	3550
563	4578	3539
564	4581	3527
565	4583	3514
566	4587	3503
567	4590	3491
568	4594	3479
569	4596	3467
570	4600	3456
571	4603	3444
572	4606	3432
573	4610	3421
574	4613	3410
575	4617	3399
576	4620	3387
577	4624	3376
578	4628	3365
579	4631	3354
580	4634	3342
581	4638	3331
582	4641	3320
583	4644	3308
584	4647	3297
585	4651	3286
586	4654	3275
587	4657	3263
588	4661	3252
589	4664	3241
590	4668	3230
591	4671	3219
592	4674	3208
593	4678	3197
594	4682	3187
595	4685	3176
596	4689	3165
597	4692	3154
598	4696	3143
599	4699	3133
600	4703	3122
601	4708	3113
602	4712	3102
603	4716	3092
604	4720	3081
605	4723	3070
606	4727	3060
607	4731	3050
608	4734	3040
609	4738	3029
610	4742	3019
611	4746	3009
612	4750	2999
613	4754	2988
614	4757	2978
615	4761	2968
616	4764	2957
617	4768	2947
618	4772	2937
619	4775	2926
620	4779	2916
621	4783	2906
622	4786	2896
623	4789	2886
624	4793	2875
625	4797	2866
626	4799	2855
627	4803	2845
628	4806	2835
629	4810	2825
630	4814	2815
631	4818	2805
632	4822	2795
633	4826	2786
634	4829	2776
635	4835	2767
636	4839	2757
637	4843	2748
638	4847	2738
639	4852	2729
640	4857	2720
641	4861	2710
642	4865	2701
643	4870	2692
644	4874	2683
645	4878	2673
646	4882	2664
647	4886	2654
648	4890	2645
649	4895	2635
650	4898	2626
651	4903	2617
652	4908	2608
653	4912	2598
654	4917	2590
655	4922	2581
656	4925	2571
657	4931	2562
658	4935	2553
659	4939	2544
660	4943	2535
661	4947	2526
662	4951	2517
663	4955	2507
664	4960	2498
665	4965	2490
666	4969	2480
667	4972	2471
668	4977	2462
669	4980	2453
670	4984	2444
671	4989	2435
672	4993	2426
673	4997	2416
674	5001	2408
675	5006	2399
676	5010	2390
677	5015	2381
678	5021	2373
679	5028	2366
680	5038	2360
681	5045	2352
682	5051	2344
683	5059	2337
684	5066	2329
685	5073	2322
686	5083	2316
687	5089	2308
688	5099	2301
689	5105	2293
690	5152	2304
691	5182	2306
692	5203	2305
693	5215	2299
694	5233	2296
695	5241	2289
696	5249	2281
697	5282	2285
698	5330	2295
699	5351	2293
700	5357	2285
701	5373	2281
702	5391	2277
703	5419	2278
704	5426	2270
705	5433	2262
706	5440	2254
707	5536	2283
708	5539	2273
709	5541	2263
710	5568	2263
711	5570	2253
712	5572	2243
713	5577	2234
714	5579	2224
715	5581	2214
716	5583	2203
717	5586	2193
718	5591	2185
719	5594	2175
720	5598	2166
721	5600	2156
722	5602	2146
723	5606	2137
724	5609	2127
725	5612	2118
726	5615	2108
727	5618	2099
728	5622	2090
729	5625	2080
730	5629	2071
731	5631	2061
732	5634	2052
733	5638	2043
734	5642	2034
735	5645	2024
736	5647	2015
737	5650	2005
738	5652	1996
739	5655	1986
740	5658	1977
741	5660	1968
742	5663	1958
743	5666	1949
744	5669	1940
745	5672	1931
746	5675	1922
747	5677	1912
748	5681	1903
749	5684	1894
750	5687	1885
751	5689	1876
752	5692	1867
753	5694	1857
754	5697	1848
755	5700	1839
756	5703	1830
757	5705	1821
758	5708	1812
759	5711	1803
760	5714	1794
761	5716	1785
762	5719	1776
763	5721	1767
764	5724	1758
765	5727	1749
766	5730	1740
767	5733	1731
768	5736	1723
769	5738	1714
770	5741	1705
771	5744	1696
772	5747	1687
773	5750	1679
774	5753	1670
775	5756	1661
776	5759	1652
777	5762	1644
778	5765	1635
779	5768	1626
780	5771	1618
781	5774	1609
782	5777	1601
783	5779	1592
784	5782	1583
785	5785	1575
786	5788	1566
787	5791	1558
788	5794	1549
789	5797	1541
790	5801	1532
791	5804	1524
792	5807	1515
793	5810	1507
794	5813	1499
795	5816	1490
796	5820	1482
797	5822	1473
798	5825	1465
799	5828	1457
800	5831	1448
801	5834	1440
802	5837	1432
803	5840	1423
804	5843	1415
805	5846	1407
806	5849	1399
807	5853	1390
808	5856	1382
809	5858	1374
810	5862	1366
811	5865	1358
812	5868	1349
813	5871	1341
814	5874	1333
815	5877	1325
816	5880	1317
817	5883	1309
818	5886	1300
819	5889	1292
820	5892	1284
821	5895	1276
822	5898	1268
823	5901	1260
824	5904	1252
825	5908	1244
826	5911	1236
827	5914	1228
828	5917	1220
829	5921	1212
830	5924	1204
831	5927	1196
832	5930	1189
833	5934	1181
834	5937	1173
835	5939	1165
836	5943	1157
837	5946	1149
838	5950	1141
839	5953	1134
840	5957	1126
841	5960	1118
842	5964	1110
843	5967	1102
844	5970	1095
845	5973	1087
846	5977	1079
847	5980	1072
848	5984	1064
849	5988	1056
850	5991	1048
851	5994	1041
852	5997	1033
853	6000	1025
854	6003	1018
855	6007	1010
856	6010	1002
857	6013	995
858	6017	987
859	6019	979
860	6023	972
861	6026	964
862	6029	957
863	6032	949
864	6036	942
865	6039	934
866	6042	926
867	6045	919
868	6049	911
869	6052	904
870	6056	896
871	6059	889
872	6063	882
873	6067	874
874	6071	867
875	6074	859
876	6078	852
877	6082	845
878	6085	837
879	6088	830
880	6091	822
881	6095	815
882	6099	808
883	6102	800
884	6105	793
885	6109	786
886	6111	778
887	6115	771
888	6119	764
889	6122	756
890	6125	749
891	6128	742
892	6131	734
893	6135	727
894	6138	720
895	6140	712
896	6144	705
897	6147	698
898	6150	691
899	6153	683
900	6156	676
901	6160	669
902	6163	662
903	6167	654
904	6170	647
905	6174	640
906	6177	633
907	6181	626
908	6184	619
909	6187	611
910	6191	604
911	6194	597
912	6197	590
913	6200	583
914	6204	576
915	6208	569
916	6211	562
917	6215	555
918	6218	548
919	6221	541
920	6224	533
921	6227	526
922	6230	519
923	6234	512
924	6238	505
925	6242	498
926	6246	491
927	6250	484
928	6254	477
929	6257	471
930	6260	464
931	6265	457
932	6268	450
933	6272	443
934	6275	436
935	6279	429
936	6282	422
937	6285	415
938	6289	408
939	6293	401
940	6296	394
941	6300	387
942	6304	381
943	6308	374
944	6312	367
945	6317	360
946	6321	353
947	6325	346
948	6329	340
949	6333	333
950	6336	326
951	6340	319
952	6346	312
953	6353	306
954	6360	299
955	6368	293
956	6374	286
957	6381	279
958	6389	273
959	6396	266
960	6402	259
961	6408	253
962	6417	246
963	6423	239
964	6433	233
965	6439	226
966	6488	221
967	6533	215
968	6550	209
969	6559	202
970	6565	196
971	6573	189
972	6578	182
973	6583	175
974	6587	168
975	6590	162
976	6594	155
977	6600	148
978	6607	141
979	6617	135
980	6621	128
981	6628	121
982	6637	114
983	6645	108
984	6651	101
985	6659	94
986	6665	87
987	6669	81
988	6673	74
989	6676	67
990	6680	60
991	6684	53
992	6690	47
993	6696	40
994	6699	33
995	6704	26
996	6709	20
997	6715	13
998	6721	6
999	6727	0
